SalePrice,Area,Price/m2,Width,Length,Location
3400.0,100,34.0,5,20,quan cam le
1600.0,100,16.0,5,20,quan cam le
2720.0,106.7,25.66,5,20,quan cam le
2100.0,80,26.25,4,20,quan cam le
1850.0,98,18.88,6.5,15.1,quan ngu hanh son
2500.0,100,25.0,5,20,quan cam le
2350.0,90,26.11,5,18,quan cam le
3450.0,100,34.5,5,20,quan cam le
2590.0,100,25.9,5,20,quan cam le
3890.0,80,48.63,5,17,quan thanh khe
880.0,920,0.000956521,30,33,huyen hoa vang
4750.0,100,47.5,5,20,quan cam le
9100.0,85,107.06,5,17,quan ngu hanh son
800.0,105,7.62,5,21,quan ngu hanh son
1600.0,9500,0.000168421,70,100,huyen hoa vang
1150.0,78,14.74,6,13,quan ngu hanh son
1720.0,60,28.67,6,13,quan thanh khe
2690.0,90,29.89,45,20,quan ngu hanh son
2450.0,90,27.22,5,19,quan cam le
3280.0,96,34.17,5,19,quan cam le
13500.0,208,64.9,26,8,quan ngu hanh son
6500.0,65,100.0,4.5,15,quan thanh khe
7500.0,113,66.37,5,22,quan hai chau
3550.0,100,35.5,5,20,quan cam le
1100.0,75,14.67,5,15,quan ngu hanh son
2830.0,110,25.73,5,22,quan ngu hanh son
14900.0,100,149.0,5,2,quan ngu hanh son
1500.0,100,15.0,5,20,huyen hoa vang
2550.0,90,28.33,5,20,quan lien chieu
2850.0,100,28.5,5,20,quan ngu hanh son
3000.0,100,30.0,5,20,huyen hoa vang
2200.0,70,31.43,10,7,quan son tra
3400.0,75,45.33,5,15,quan son tra
1350.0,65,20.77,5,15,quan lien chieu
2550.0,100,25.5,5,20,quan cam le
1100.0,102,10.78,5,20,huyen hoa vang
1900.0,144,13.19,6,24,huyen hoa vang
6990.0,140,49.93,8,16,quan cam le
3550.0,106,33.49,6,18,quan ngu hanh son
2040.0,81,25.19,6,18,quan lien chieu
2100.0,52.6,40.38,4.2,13,quan son tra
1850.0,540,3.43,10,54,huyen hoa vang
2450.0,100,24.5,10,54,quan lien chieu
4850.0,100,48.5,5,20,quan ngu hanh son
3400.0,100,34.0,5,20,quan cam le
2350.0,100,23.5,5,20,quan ngu hanh son
1744.0,105,16.61,5,21,quan ngu hanh son
2900.0,100,29.0,5,20,quan cam le
2050.0,68,30.15,4.5,15,quan lien chieu
2690.0,100,26.9,5,20,quan cam le
3600.0,100,36.0,5,20,quan lien chieu
2550.0,100,25.5,5,20,quan cam le
2400.0,100,24.0,5,20,quan cam le
2450.0,100,24.5,5,20,quan cam le
6500.0,125,52.0,5,25,quan cam le
525.0,100,5.25,5,20,huyen hoa vang
1200.0,90,13.33,5,18,quan ngu hanh son
2250.0,100,22.5,5,18,quan lien chieu
11800.0,102.6,115.69,5.4,19,quan son tra
2650.0,100,26.5,5,20,quan cam le
5000.0,500,10.0,,,huyen hoa vang
2600.0,121,21.49,6,20,quan lien chieu
2550.0,116,21.98,5,23,quan cam le
1350.0,925,1.46,14,68,huyen hoa vang
5500.0,154,35.71,7.7,20,quan cam le
1870.0,98,19.08,6,17,quan lien chieu
11500.0,250,46.0,10,25,quan cam le
5700.0,145,39.31,5,23,quan cam le
3300.0,150,22.0,7.7,20,quan cam le
2520.0,105,24.0,5,21,quan cam le
2900.0,100,29.0,5,20,quan cam le
1900.0,80,23.75,5,16,quan lien chieu
2499.0,100,24.99,5,20,quan cam le
4100.0,118,34.75,5,23.5,quan son tra
3450.0,100,34.5,5,20,quan cam le
6300.0,65,96.92,4.5,14.3,quan thanh khe
1750.0,104,16.83,4.2,25,quan cam le
2250.0,100,22.5,4.2,25,quan lien chieu
3050.0,95,32.11,5,19,quan cam le
6000.0,100,60.0,5,20,quan son tra
6500.0,150,43.33,10,15,quan son tra
2800.0,82,34.15,5,15,quan cam le
795.0,142,5.6,6,23.6,huyen hoa vang
1600.0,100,16.0,6,23.6,quan lien chieu
1300.0,100,13.0,6,23.6,quan ngu hanh son
2860.0,100,28.6,5,20,quan cam le
900.0,150,6.0,5,30,huyen hoa vang
3300.0,100,33.0,5,20,quan cam le
4490.0,117.5,38.38,5,20,quan son tra
5400.0,130,41.54,5,26,quan cam le
750.0,403,1.86,15,25,huyen hoa vang
2599.0,100,25.99,5,20,quan cam le
2630.0,100,26.3,5,20,quan cam le
4150.0,100,41.5,5,20,quan cam le
1750.0,105,16.67,5,21,quan ngu hanh son
